Date,Time,Sample ID,Sample,Arm,Tank,Beaker,TP,Target,Beaker conditions,Observed concentration (uM),Pump,Notes,
2023-04-18,1:30 PM,1,Initial seawater VAT_R1,Source,VAT-left,Source,T1,0,Source,0.92,Source,,
2023-04-18,1:30 PM,2,Initial seawater VAT_R1,Source,VAT-right,Source,T1,0,Source,0.37,Source,,
2023-04-18,1:30 PM,3,Initial seawater VAT_R2,Source,VAT-left,Source,T1,0,Source,0.8,Source,,
2023-04-18,1:30 PM,4,Initial seawater VAT_R2,Source,VAT-right,Source,T1,0,Source,0.33,Source,,
2023-04-18,1:30 PM,5,Initial seawater Tank_R1,Source,Source_0,Source,T1,0,Source,0.27,Source,,
2023-04-18,1:30 PM,6,Initial seawater N_R2,Source,Source_0,Source,T1,0,Source,0,Source,,
2023-04-18,1:30 PM,7,Initial seawater N_R1,Source,Source_5,Source,T1,5,Source,3.96,Source,KE added water by accident ,
2023-04-18,1:30 PM,8,Initial seawater N_R2,Source,Source_5,Source,T1,5,Source,3.94,Source,KE added water by accident ,
2023-04-18,1:30 PM,9,1_T1,Armand,1,1,T1,0,Skeleton,0.91,1,After dosing,
2023-04-18,1:30 PM,10,2_T1,Armand,1,2,T1,0,Skeleton,1.46,2,After dosing,
2023-04-18,1:30 PM,11,3_T1,Armand,1,3,T1,5,Coral,4.18,1,After dosing,
2023-04-18,1:30 PM,12,4_T1,Armand,1,4,T1,5,Coral,4.4,2,After dosing,
2023-04-18,1:30 PM,13,5_T1,Armand,1,5,T1,0,Coral,0.51,1,After dosing,
2023-04-18,1:30 PM,14,6_T1,Armand,1,6,T1,0,Coral,0.18,2,After dosing,
2023-04-18,1:30 PM,15,7_T1,Armand,1,7,T1,5,Empty,4.22,1,After dosing,
2023-04-18,1:30 PM,16,8_T1,Armand,1,8,T1,5,Empty,3.86,2,After dosing,
2023-04-18,3:30 PM,17,9_T1,Armand,1,9,T1,0,Skeleton,0.47,1,After dosing,
2023-04-18,3:30 PM,18,10_T1,Armand,1,10,T1,0,Skeleton,0.39,2,After dosing,
2023-04-18,3:30 PM,19,11_T1,Armand,1,11,T1,5,Coral,3.05,1,After dosing,
2023-04-18,3:30 PM,20,12_T1,Armand,1,12,T1,5,Coral,1.6,2,After dosing,
2023-04-18,3:30 PM,21,13_T1,Armand,1,13,T1,0,Coral,0.37,1,After dosing,
2023-04-18,3:30 PM,22,14_T1,Armand,1,14,T1,0,Coral,0.18,2,After dosing,
2023-04-18,3:30 PM,23,15_T1,Armand,1,15,T1,5,Skeleton,3.69,1,After dosing,
2023-04-18,3:30 PM,24,16_T1,Armand,1,16,T1,5,Skeleton,3.42,2,After dosing,
2023-04-18,1:30 PM,25,17_T1,Armand,2,17,T1,0,Coral,0.22,1,After dosing,
2023-04-18,1:30 PM,26,18_T1,Armand,2,18,T1,0,Coral,0.18,2,After dosing,
2023-04-18,1:30 PM,27,19_T1,Armand,2,19,T1,5,Skeleton,4.08,1,After dosing,
2023-04-18,1:30 PM,28,20_T1,Armand,2,20,T1,5,Skeleton,4.18,2,After dosing,
2023-04-18,1:30 PM,29,21_T1,Armand,2,21,T1,0,Skeleton,0.74,1,After dosing,
2023-04-18,1:30 PM,30,22_T1,Armand,2,22,T1,0,Skeleton,0.79,2,After dosing,
2023-04-18,1:30 PM,31,23_T1,Armand,2,23,T1,5,Coral,3.78,1,After dosing,
2023-04-18,1:30 PM,32,24_T1,Armand,2,24,T1,5,Coral,4.15,2,After dosing,
2023-04-18,3:45 PM,33,25_T1,Armand,2,25,T1,0,Coral,0.24,1,After dosing,
2023-04-18,3:45 PM,34,26_T1,Armand,2,26,T1,0,Coral,0.73,2,After dosing,
2023-04-18,3:45 PM,35,27_T1,Armand,2,27,T1,5,Empty,3.49,1,After dosing,
2023-04-18,3:45 PM,36,28_T1,Armand,2,28,T1,5,Skeleton,1.71,2,After dosing,
